[85, 170, 6, 4, 1, 1, 0, 6, 0]
[85, 170, 6, 4, 1, True, 1, 7, 0]
{'voltage': 238.23000000000002, 'current': 0.04, 'voltage_peak': 336.908, 'current_peak': 0.05, 'Power_factor': 0.0789, 'Frequency': 50.19, 'Active_Power': 0.00030000000000000003, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0038, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:46', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.23000000000002, 'current': 0.04, 'voltage_peak': 336.908, 'current_peak': 0.05, 'Power_factor': 0.0789, 'Frequency': 50.19, 'Active_Power': 0.00030000000000000003, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0038, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:46', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.275, 'current': 0.04, 'voltage_peak': 336.971, 'current_peak': 0.05, 'Power_factor': 0.7142000000000001, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0016, 'Apparent_Power': 0.0021000000000000003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:47', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.275, 'current': 0.04, 'voltage_peak': 336.971, 'current_peak': 0.05, 'Power_factor': 0.7142000000000001, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0016, 'Apparent_Power': 0.0021000000000000003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:47', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.215, 'current': 0.04, 'voltage_peak': 336.886, 'current_peak': 0.05, 'Power_factor': 0.5294, 'Frequency': 50.18, 'Active_Power': 0.0018000000000000002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0034000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:48', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.215, 'current': 0.04, 'voltage_peak': 336.886, 'current_peak': 0.05, 'Power_factor': 0.5294, 'Frequency': 50.18, 'Active_Power': 0.0018000000000000002, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0034000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:48', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.26, 'current': 0.04, 'voltage_peak': 336.95, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0001, 'Apparent_Power': 0.0028, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:49', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.26, 'current': 0.04, 'voltage_peak': 336.95, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0001, 'Apparent_Power': 0.0028, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:49', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.913, 'current': 0.04, 'voltage_peak': 336.459, 'current_peak': 0.05, 'Power_factor': 0.7692, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0009000000000000001, 'Apparent_Power': 0.0013000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:50', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.913, 'current': 0.04, 'voltage_peak': 336.459, 'current_peak': 0.05, 'Power_factor': 0.7692, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0009000000000000001, 'Apparent_Power': 0.0013000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:50', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.084, 'current': 0.04, 'voltage_peak': 335.28700000000003, 'current_peak': 0.05, 'Power_factor': 0.7272000000000001, 'Frequency': 50.19, 'Active_Power': 0.0008, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0011, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:51', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.084, 'current': 0.04, 'voltage_peak': 335.28700000000003, 'current_peak': 0.05, 'Power_factor': 0.7272000000000001, 'Frequency': 50.19, 'Active_Power': 0.0008, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0011, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:51', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.024, 'current': 0.04, 'voltage_peak': 335.202, 'current_peak': 0.05, 'Power_factor': 0.031200000000000002, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:52', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.024, 'current': 0.04, 'voltage_peak': 335.202, 'current_peak': 0.05, 'Power_factor': 0.031200000000000002, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:52', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.904, 'current': 0.04, 'voltage_peak': 335.032, 'current_peak': 0.05, 'Power_factor': 0.25, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0008, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:53', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.904, 'current': 0.04, 'voltage_peak': 335.032, 'current_peak': 0.05, 'Power_factor': 0.25, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0008, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:53', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.391, 'current': 0.04, 'voltage_peak': 334.307, 'current_peak': 0.05, 'Power_factor': 0.4444, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0018000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:54', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.391, 'current': 0.04, 'voltage_peak': 334.307, 'current_peak': 0.05, 'Power_factor': 0.4444, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0018000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:54', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.30100000000002, 'current': 0.04, 'voltage_peak': 334.18, 'current_peak': 0.05, 'Power_factor': 0.39990000000000003, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:55', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.30100000000002, 'current': 0.04, 'voltage_peak': 334.18, 'current_peak': 0.05, 'Power_factor': 0.39990000000000003, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:55', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.647, 'current': 0.04, 'voltage_peak': 334.669, 'current_peak': 0.05, 'Power_factor': 0.2142, 'Frequency': 50.19, 'Active_Power': 0.00030000000000000003, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0014, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:56', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.647, 'current': 0.04, 'voltage_peak': 334.669, 'current_peak': 0.05, 'Power_factor': 0.2142, 'Frequency': 50.19, 'Active_Power': 0.00030000000000000003, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0014, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:56', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.30100000000002, 'current': 0.04, 'voltage_peak': 334.18, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.0032, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:57', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.30100000000002, 'current': 0.04, 'voltage_peak': 334.18, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.0032, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:57', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 235.954, 'current': 0.04, 'voltage_peak': 333.689, 'current_peak': 0.05, 'Power_factor': 0.2222, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0009000000000000001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:58', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 235.954, 'current': 0.04, 'voltage_peak': 333.689, 'current_peak': 0.05, 'Power_factor': 0.2222, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0009000000000000001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:58', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.391, 'current': 0.04, 'voltage_peak': 334.307, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0023, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:59', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.391, 'current': 0.04, 'voltage_peak': 334.307, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.19, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0023, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:59', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.27, 'current': 0.04, 'voltage_peak': 334.136, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.004, 'Reactive_Power': 0.0001, 'Apparent_Power': 0.004, 'Active_Energy': 0.0, 'time': '2023-02-27 11:27:00', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 236.27, 'current': 0.04, 'voltage_peak': 334.136, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.004, 'Reactive_Power': 0.0001, 'Apparent_Power': 0.004, 'Active_Energy': 0.0, 'time': '2023-02-27 11:27:00', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
